source,target,relation
2016/2295,2008/393,amending
2016/2295,2010/146,amending
2016/2295,2010/625,amending
2016/2295,2011/61,amending
2016/2295,2012/484,amending
2016/2295,2013/65,amending
2013/14,2003/41,amending
2013/14,2009/65,amending
2013/14,2011/61,amending
231/2013,2011/61,supplementing
2021/1255,231/2013,amending
2018/1618,231/2013,amending
1286/2014,1995/0046,references
1286/2014,2000/0031,references
1286/2014,2001/0045,references
1286/2014,2002/0065,references
1286/2014,2002/0092,references
1286/2014,2003/0041,references
1286/2014,2003/0071,references
1286/2014,2009/0065,references
1286/2014,2009/0138,references
1286/2014,2010/1093,references
1286/2014,2010/1094,references
1286/2014,2010/1095,references
1286/2014,2011/0061,references
1286/2014,2013/0034,references
1286/2014,2013/0346,references
1286/2014,2014/0065,references
1286/2014,2014/0600,references
2019/1156,2016/291,references
2019/1156,2016/005,references
2019/1156,2009/0065,references
2019/1156,2010/1095,references
2019/1156,2011/0061,references
2019/1156,2013/0036,references
2019/1156,2014/0065,references
2019/1156,2015/0760,references
2019/1156,2016/0679,references
2019/1156,2017/1129,references
2019/1156,2018/1725,references
2019/1156,2019/1160,references
2019/1156,2018/1533,references
2021/2259,2009/0065,references
2021/2259,2017/0653,references
2017/653,2009/0065,references
2017/653,2010/0583,references
2017/653,2010/1093,references
2017/653,2010/1094,references
2017/653,2010/1095,references
2017/653,2014/0065,references
2017/653,2014/0600,references
2017/653,2016/0097,references
2016/1904,2010/1094,references
2016/1904,2014/0065,references
2021/2268,2009/0065,references
2021/2268,2010/0583,references
2021/2268,2010/1093,references
2021/2268,2010/1094,references
2021/2268,2010/1095,references
2021/2268,2011/0061,references
2021/2268,2014/0065,references
2021/2268,2016/0097,references
2021/2268,2021/0397,references
2019/1866,2009/0065,references
2019/1866,2010/1093,references
2019/1866,2010/1094,references
2019/1866,2010/1095,references
2019/1866,2019/1156,references
2016/2340,2010/1093,references
2016/2340,2010/1094,references
2016/2340,2010/1095,references
2017/653,2009/0065,references
2017/653,2010/0583,references
2017/653,2010/1093,references
2017/653,2010/1094,references
2017/653,2010/1095,references
2017/653,2014/0065,references
2017/653,2014/0600,references
2017/653,2016/0097,references
2022/975,2009/0065,references
2022/975,2019/1866,references
2022/975,2021/2259,references
2021/2268,2009/0065,references
2021/2268,2010/0583,references
2021/2268,2010/1093,references
2021/2268,2010/1094,references
2021/2268,2010/1095,references
2021/2268,2011/0061,references
2021/2268,2014/0065,references
2021/2268,2016/0097,references
2021/2268,2021/0397,references
2019/1866,2009/0065,references
2019/1866,2010/1093,references
2019/1866,2010/1094,references
2019/1866,2010/1095,references
2019/1866,2019/1156,references
2021/2268,2009/0065,references
2021/2268,2010/0583,references
2021/2268,2010/1093,references
2021/2268,2010/1094,references
2021/2268,2010/1095,references
2021/2268,2011/0061,references
2021/2268,2014/0065,references
2021/2268,2016/0097,references
2021/2268,2021/0397,references
2022/975,2009/0065,references
2022/975,2019/1866,references
2022/975,2021/2259,references
2017/2402,2016/290,references
2017/2402,2002/0087,references
2017/2402,2003/0041,references
2017/2402,2003/0071,references
2017/2402,2008/0048,references
2017/2402,2010/1092,references
2017/2402,2010/1093,references
2017/2402,2010/1094,references
2017/2402,2010/1095,references
2017/2402,2013/0034,references
2017/2402,2013/0036,references
2017/2402,2013/0231,references
2017/2402,2013/0575,references
2017/2402,2013/1024,references
2017/2402,2014/0017,references
2017/2402,2014/0059,references
2017/2402,2014/0065,references
2017/2402,2014/0596,references
2017/2402,2014/0600,references
2017/2402,2014/0625,references
2017/2402,2014/0806,references
2017/2402,2015/0003,references
2017/2402,2015/0035,references
2017/2402,2015/0061,references
2017/2402,2015/1017,references
2017/2402,2015/2365,references
2017/2402,2016/2341,references
2017/2402,2014/0903,references
2017/2402,2015/4971,references
2017/2402,2016/0011,references
2009/65,1978/0660,references
2009/65,1983/0349,references
2009/65,1997/0009,references
2009/65,1999/0468,references
2009/65,2001/0528,references
2009/65,2004/0109,references
2009/65,2004/0139,references
2009/65,2006/0043,references
2009/65,2006/0048,references
2009/65,2006/0049,references
2009/65,2009/0077,references
2019/2034,2016/157,references
2019/2034,2016/258,references
2019/2034,2016/290,references
2019/2034,2016/291,references
2019/2034,2016/005,references
2019/2034,2002/1606,references
2019/2034,2006/0043,references
2019/2034,2009/0384,references
2019/2034,2009/0138,references
2019/2034,2010/1092,references
2019/2034,2010/1093,references
2019/2034,2010/1095,references
2019/2034,2012/0648,references
2019/2034,2013/0034,references
2019/2034,2013/0575,references
2019/2034,2014/0600,references
2019/2034,2015/0849,references
2019/2034,2016/0679,references
2019/2034,2018/1725,references
2019/2034,2019/0878,references
2019/2034,2019/2033,references
2019/2034,2017/5601,references
2019/2034,2018/0036,references
2011/61,1977/0091,references
2011/61,1983/0349,references
2011/61,1995/0046,references
2011/61,1997/0009,references
2011/61,1998/0026,references
2011/61,2001/0528,references
2011/61,2001/0045,references
2011/61,2002/0014,references
2011/61,2003/0361,references
2011/61,2003/0071,references
2011/61,2004/0025,references
2011/61,2004/0039,references
2011/61,2004/0109,references
2011/61,2006/0043,references
2011/61,2006/0048,references
2011/61,2006/0049,references
2011/61,2006/0073,references
2011/61,2009/0384,references
2011/61,2009/0024,references
2011/61,2010/1092,references
2011/61,2010/1093,references
2011/61,2010/1094,references
2011/61,2011/0182,references
2019/2162,2016/005,references
2019/2162,2001/0045,references
2019/2162,2002/0047,references
2019/2162,2006/0111,references
2019/2162,2010/1093,references
2019/2162,2010/1095,references
2019/2162,2013/0575,references
2019/2162,2013/1024,references
2019/2162,2015/0035,references
2019/2162,2015/0061,references
2019/2162,2016/0679,references
2019/2162,2018/1725,references
2019/2162,2019/2160,references
2019/2162,2018/1058,references
2022/2556,2016/005,references
2022/2556,2009/0110,references
2022/2556,2010/1093,references
2022/2556,2014/0596,references
2022/2556,2014/0600,references
2022/2556,2022/2554,references
2022/2556,2020/5040,references
2022/2556,2021/0020,references
2016/438,2002/1606,references
2016/438,2013/0034,references
2016/438,2013/0036,references
2016/438,2013/0575,references
2016/438,2014/0091,references
2010/42,2008/0593,references
2010/42,2009/0077,references
2010/43,2003/0006,references
2010/43,2004/0039,references
2010/43,2006/0073,references
2010/43,2007/0016,references
2010/43,2008/0593,references
2010/43,2009/0077,references
584/2010,2009/0077,references
2016/1212,2010/1095,references
583/2010,2004/0039,references
583/2010,2009/0077,references
583/2010,2009/0073,references
2014/91,1195/0046,references
2014/91,1997/0009,references
2014/91,1998/0026,references
2014/91,2001/0528,references
2014/91,2001/0045,references
2014/91,2006/0073,references
2014/91,2009/0384,references
2014/91,2010/1093,references
2014/91,2010/1095,references
2014/91,2011/0061,references
2014/91,2012/0648,references
2014/91,2013/0034,references
2014/91,2013/0036,references
2014/91,2013/0575,references
2014/91,2014/0065,references
2014/91,2014/0909,references
2019/1160,2013/0036,references
2019/1160,2014/0065,references
2019/1160,2015/0760,references
2019/1160,2019/1156,references
2019/1160,2018/1533,references
2013/14,2009/1060,references
2021/2261,2014/1286,references
2021/2261,2017/0653,references
2021/2261,2021/2259,references
2019/2088,2016/290,references
2019/2088,2016/291,references
2019/2088,2016/005,references
2019/2088,2009/0065,references
2019/2088,2009/0138,references
2019/2088,2010/1093,references
2019/2088,2010/1094,references
2019/2088,2010/1095,references
2019/2088,2011/0061,references
2019/2088,2013/0034,references
2019/2088,2013/0036,references
2019/2088,2013/0345,references
2019/2088,2013/0346,references
2019/2088,2014/0065,references
2019/2088,2014/1286,references
2019/2088,2015/0760,references
2019/2088,2016/1841,references
2019/2088,2016/0097,references
2019/2088,2016/2341,references
2019/2088,2016/1011,references
2019/2088,2019/1238,references
2019/2088,2016/0739,references
2019/2088,2018/2766,references
2020/852,2016/191,references
2020/852,2016/290,references
2020/852,2016/003,references
2020/852,2016/005,references
2020/852,1991/0271,references
2020/852,1991/0676,references
2020/852,1992/0043,references
2020/852,1994/0062,references
2020/852,1997/0338,references
2020/852,1998/0083,references
2020/852,1999/0031,references
2020/852,2000/0532,references
2020/852,2000/0053,references
2020/852,2000/0060,references
2020/852,2001/0042,references
2020/852,2004/0035,references
2020/852,2004/0107,references
2020/852,2006/0007,references
2020/852,2006/0066,references
2020/852,2006/0118,references
2020/852,2006/1013,references
2020/852,2006/1907,references
