source,target,relation
2017/1943,2013/0575,references
2017/1943,2017/1946,references
2017/1944,1995/0046,references
2017/1944,2001/0045,references
2017/981,2010/1095,references
2017/980,2010/1095,references
2017/980,2014/0600,references
2017/578,2010/1095,references
2017/578,2014/0600,references
2017/578,2017/0567,references
2017/578,2017/0583,references
2019/2177,2006/0043,references
2019/2177,2010/1093,references
2019/2177,2010/1094,references
2019/2177,2010/1095,references
2019/2177,2014/0600,references
2019/2177,2016/0679,references
2019/2177,2018/1725,references
2019/2177,2017/5295,references
2019/2177,2018/0026,references
2022/1299,2010/1095,references
2022/1299,2021/0338,references
2022/1299,2022/1301,references
2022/552,2014/0065,references
2017/1945,1995/0046,references
2017/1945,2010/1095,references
2017/1946,1995/0046,references
2017/1946,2001/0045,references
2017/1946,2010/1095,references
2017/1005,2010/1095,references
2017/953,2010/1095,references
2017/953,2017/0591,references
2017/574,2010/1095,references
2017/574,2014/0600,references
2017/569,2010/1095,references
2017/576,2010/1095,references
2017/576,2017/0575,references
2017/570,2010/1095,references
2017/570,2017/0587,references
2017/566,2010/1095,references
2017/573,2010/1095,references
2016/1034,2001/0528,references
2016/1034,2004/0109,references
2016/1034,2011/0182,references
2016/1034,2014/0596,references
2016/1034,2014/0600,references
2016/1034,2016/0027,references
2020/1504,2020/1503,references
2020/1504,2018/1108,references
2019/1011,2004/0109,references
2018/63,2010/1095,references
2018/63,2014/0600,references
2018/63,2017/0583,references
600/2014,1995/0046,references
600/2014,2001/0528,references
600/2014,2001/0045,references
600/2014,2003/0041,references
600/2014,2003/0087,references
600/2014,2004/0039,references
600/2014,2004/0809,references
600/2014,2005/0060,references
600/2014,2006/1287,references
600/2014,2009/0065,references
600/2014,2009/0138,references
600/2014,2009/0713,references
600/2014,2010/1093,references
600/2014,2010/1095,references
600/2014,2011/0061,references
600/2014,2011/0182,references
600/2014,2011/1227,references
600/2014,2012/0236,references
600/2014,2013/0036,references
600/2014,2013/0149,references
600/2014,2013/0575,references
600/2014,2013/1308,references
600/2014,2014/0057,references
600/2014,2014/0065,references
600/2014,2014/0596,references
2022/858,2016/005,references
2022/858,2016/007,references
2022/858,2016/008,references
2022/858,1998/0026,references
2022/858,2010/1095,references
2022/858,2012/0236,references
2022/858,2013/0050,references
2022/858,2013/0575,references
2022/858,2014/0596,references
2022/858,2016/0679,references
2022/858,2017/1129,references
2022/858,2018/1725,references
2022/858,2019/1937,references
2022/858,2019/2034,references
2022/858,2019/2033,references
2022/858,2021/0023,references
2022/858,2020/4982,references
2022/858,2021/0015,references
2021/23,2016/107,references
2021/23,2016/108,references
2021/23,2016/109,references
2021/23,2016/218,references
2021/23,2016/290,references
2021/23,2016/005,references
2021/23,2016/047,references
2021/23,1998/0026,references
2021/23,2001/0034,references
2021/23,2004/0109,references
2021/23,2010/1093,references
2021/23,2010/1094,references
2021/23,2013/0036,references
2021/23,2013/0575,references
2021/23,2013/1024,references
2021/23,2014/0596,references
2021/23,2017/1129,references
2021/23,2019/2162,references
2021/23,2016/6466,references
2021/23,2017/0038,references
2022/2554,2016/127,references
2022/2554,2016/290,references
2022/2554,2016/291,references
2022/2554,2016/005,references
2022/2554,2006/0043,references
2022/2554,2009/0065,references
2022/2554,2009/0110,references
2022/2554,2009/0138,references
2022/2554,2010/1093,references
2022/2554,2010/1094,references
2022/2554,2010/1095,references
2022/2554,2011/0061,references
2022/2554,2013/0034,references
2022/2554,2013/0036,references
2022/2554,2013/0575,references
2022/2554,2013/1024,references
2022/2554,2014/0059,references
2022/2554,2014/0065,references
2022/2554,2014/0806,references
2022/2554,2015/2366,references
2022/2554,2016/0097,references
2022/2554,2016/1148,references
2022/2554,2016/2341,references
2022/2554,2016/0679,references
2022/2554,2017/2402,references
2022/2554,2018/1725,references
2022/2554,2019/2034,references
2022/2554,2019/0881,references
2022/2554,2019/2033,references
2022/2554,2020/1503,references
2022/2554,2022/2555,references
2022/2554,2022/2556,references
2022/2554,2022/2557,references
2022/2554,2018/0109,references
2022/2554,2020/5040,references
2022/2554,2021/0020,references
2019/2033,2016/157,references
2019/2033,2016/290,references
2019/2033,2016/291,references
2019/2033,2016/005,references
2019/2033,1986/0635,references
2019/2033,2002/0087,references
2019/2033,2004/0039,references
2019/2033,2009/0138,references
2019/2033,2010/1095,references
2019/2033,2012/0648,references
2019/2033,2013/0034,references
2019/2033,2013/0036,references
2019/2033,2014/0065,references
2019/2033,2014/0909,references
2019/2033,2015/0849,references
2019/2033,2015/2366,references
2019/2033,2015/0061,references
2019/2033,2015/2365,references
2019/2033,2016/0679,references
2019/2033,2017/0593,references
2019/2033,2017/0567,references
2019/2033,2017/0578,references
2019/2033,2019/0878,references
2019/2033,2019/2034,references
2019/2033,2019/0630,references
2019/2033,2019/0876,references
2019/2033,2017/5601,references
2019/2033,2018/0036,references
2016/1033,2016/290,references
2016/1033,2004/0039,references
2016/1033,2010/1095,references
2016/1033,2014/0065,references
2016/1033,2015/2365,references
2016/1033,2016/0027,references
2017/567,2010/1093,references
2017/567,2010/1095,references
2017/567,2012/0236,references
2017/567,2014/0049,references
2017/567,2017/0565,references
2017/567,2017/0571,references
2017/567,2017/0572,references
2017/567,2017/0583,references
2017/567,2017/0587,references
2017/567,2017/0590,references
2017/583,2009/0065,references
2017/583,2010/1095,references
2017/583,2011/0061,references
2017/583,2014/0065,references
2017/583,2017/0571,references
2017/583,2017/0577,references
2017/583,2017/0585,references
2017/583,2017/0590,references
2017/587,2009/0065,references
2017/587,2010/1095,references
2017/587,2011/0061,references
2017/587,2014/0065,references
2017/587,2014/0909,references
2017/587,2017/0571,references
2017/587,2017/0574,references
2017/587,2017/0577,references
2017/587,2017/0590,references
2017/590,2004/0039,references
2017/590,2010/1095,references
2017/590,2012/0236,references
2017/590,2014/0065,references
2017/590,2015/2365,references
2017/590,2017/0571,references
2017/590,2017/0587,references
2017/577,2004/0039,references
2017/577,2006/1287,references
2017/577,2010/1095,references
2017/577,2014/0065,references
2017/577,2016/2020,references
2017/577,2017/0565,references
2017/577,2017/0567,references
2017/577,2017/0571,references
2017/577,2017/0583,references
2017/577,2017/0587,references
2017/581,1998/0026,references
2017/581,2010/1095,references
2017/581,2012/0648,references
2017/581,2013/0153,references
2017/581,2014/0065,references
2019/541,2012/0648,references
2019/541,2014/0065,references
2019/541,2014/0596,references
2017/2238,2012/0648,references
2017/2238,2014/0065,references
2017/2238,2014/0596,references
2022/930,2018/1046,references
2022/930,2019/2175,references
2022/930,2022/0466,references
2017/2417,2010/1095,references
2017/2417,2012/0648,references
2017/2417,2015/2205,references
2017/2417,2016/0592,references
2017/2194,2010/1095,references
2017/2194,2012/0648,references
2017/2194,2017/0583,references
2017/2194,2017/0585,references
2017/582,2010/1095,references
2017/582,2017/0589,references
2017/585,2010/1095,references
2017/572,2010/1095,references
2017/580,2010/1095,references
2017/580,2014/0065,references
2017/580,2017/0574,references
2017/579,2010/1095,references
2017/579,2012/0648,references
2017/579,2013/0575,references
2017/579,2014/0285,references
2016/2021,2010/1095,references
2016/2021,2012/0648,references
2016/2020,2010/1095,references
2016/2020,2012/0648,references
2016/2020,2014/0065,references
2016/2022,2010/1095,references
2020/2127,2012/0648,references
2020/2127,2014/0065,references
2020/2127,2014/0596,references
2019/1000,2019/0143,references
2019/462,2016/050,references
2019/462,2019/0069,references
2022/466,2014/0065,references
2022/466,2019/2175,references
2017/2154,1998/0026,references
2017/2154,2010/1095,references
2017/2154,2012/0648,references
2011/61,1977/0091,references
2011/61,1983/0349,references
2011/61,1995/0046,references
2011/61,1997/0009,references
2011/61,1998/0026,references
2011/61,2001/0528,references
2011/61,2001/0045,references
2011/61,2002/0014,references
2011/61,2003/0361,references
2011/61,2003/0071,references
2011/61,2004/0025,references
2011/61,2004/0039,references
2011/61,2004/0109,references
2011/61,2006/0043,references
2011/61,2006/0048,references
2011/61,2006/0049,references
2011/61,2006/0073,references
2011/61,2009/0384,references
2011/61,2009/0024,references
2011/61,2010/1092,references
2011/61,2010/1093,references
2011/61,2010/1094,references
2011/61,2011/0182,references
2014/65,1993/0022,references
2014/65,1995/0046,references
2014/65,1997/0009,references
2014/65,1998/0257,references
2014/65,2001/0310,references
2014/65,2001/0034,references
2014/65,2001/0045,references
2014/65,2002/0047,references
2014/65,2002/0058,references
2014/65,2002/0087,references
2014/65,2003/0071,references
2014/65,2003/0087,references
2014/65,2004/0109,references
2014/65,2005/0060,references
2014/65,2006/0043,references
2014/65,2006/0073,references
2014/65,2009/0065,references
2014/65,2009/0072,references
2014/65,2009/0073,references
2014/65,2009/0138,references
2014/65,2009/0714,references
2014/65,2009/0715,references
2014/65,2010/0583,references
2014/65,2010/1093,references
2014/65,2010/1094,references
2014/65,2010/1095,references
2014/65,2011/1227,references
2014/65,2012/0030,references
2014/65,2012/0236,references
2014/65,2012/0648,references
2014/65,2012/0966,references
2014/65,2013/0034,references
2014/65,2013/0036,references
2014/65,2013/0575,references
2014/65,2013/1308,references
2014/65,2014/0017,references
2014/65,2014/0049,references
2014/65,2014/0057,references
2014/65,2014/0596,references
2014/65,2014/0600,references
2019/2034,2016/157,references
2019/2034,2016/258,references
2019/2034,2016/290,references
2019/2034,2016/291,references
2019/2034,2016/005,references
2019/2034,2002/1606,references
2019/2034,2006/0043,references
2019/2034,2009/0384,references
2019/2034,2009/0138,references
2019/2034,2010/1092,references
2019/2034,2010/1093,references
2019/2034,2010/1095,references
2019/2034,2012/0648,references
2019/2034,2013/0034,references
2019/2034,2013/0575,references
2019/2034,2014/0600,references
2019/2034,2015/0849,references
2019/2034,2016/0679,references
2019/2034,2018/1725,references
2019/2034,2019/0878,references
2019/2034,2019/2033,references
2019/2034,2017/5601,references
2019/2034,2018/0036,references
2017/2402,2016/290,references
2017/2402,2002/0087,references
2017/2402,2003/0041,references
2017/2402,2003/0071,references
2017/2402,2008/0048,references
2017/2402,2010/1092,references
2017/2402,2010/1093,references
2017/2402,2010/1094,references
2017/2402,2010/1095,references
2017/2402,2013/0034,references
2017/2402,2013/0036,references
2017/2402,2013/0231,references
2017/2402,2013/0575,references
2017/2402,2013/1024,references
2017/2402,2014/0017,references
2017/2402,2014/0059,references
2017/2402,2014/0065,references
2017/2402,2014/0596,references
2017/2402,2014/0600,references
2017/2402,2014/0625,references
2017/2402,2014/0806,references
2017/2402,2015/0003,references
2017/2402,2015/0035,references
2017/2402,2015/0061,references
2017/2402,2015/1017,references
2017/2402,2015/2365,references
2017/2402,2016/2341,references
2017/2402,2014/0903,references
2017/2402,2015/4971,references
2017/2402,2016/0011,references
231/2013,2003/0006,references
231/2013,2004/0039,references
231/2013,2006/0048,references
231/2013,2006/0073,references
231/2013,2009/0065,references
231/2013,2010/0043,references
2015/514,2009/0065,references
448/2013,2010/1095,references
447/2013,2009/0065,references
694/2014,2010/1095,references
2022/2556,2016/005,references
2022/2556,2009/0110,references
2022/2556,2010/1093,references
2022/2556,2014/0596,references
2022/2556,2014/0600,references
2022/2556,2022/2554,references
2022/2556,2020/5040,references
2022/2556,2021/0020,references
2019/1160,2013/0036,references
2019/1160,2014/0065,references
2019/1160,2015/0760,references
2019/1160,2019/1156,references
2019/1160,2018/1533,references
2016/2295,2016/266,references
2016/2295,2000/0520,references
2016/2295,2014/0362,references
2013/14,2009/1060,references
231/2013,2003/0006,references
231/2013,2004/0039,references
231/2013,2006/0048,references
231/2013,2006/0073,references
231/2013,2009/0065,references
231/2013,2010/0043,references
2021/1255,2016/1841,references
2021/1255,2019/2088,references
2021/1255,2018/0097,references
2021/1255,2018/0264,references
2021/1255,2019/0640,references
